Domain                                                 ,Associated Domains
google.com                                             ,"android.clients.google.com, *.appengine.google.com, *.cloud.google.com, *.crowdsource.google.com, *.datacompute.google.com, *.google.com, google.com, *.google.com.af, google.com.af, *.google.com.ag, google.com.ag, *.google.com.ai, google.com.ai, *.google.com.ar, google.com.ar, *.google.com.au, google.com.au, *.google.com.bd, google.com.bd, *.google.com.bh, google.com.bh, *.google.com.bn, google.com.bn, *.google.com.bo, google.com.bo, *.google.com.br, google.com.br, *.google.com.by, google.com.by, *.google.com.bz, google.com.bz, *.google.com.co, google.com.co, *.google.com.cu, google.com.cu, *.google.com.cy, google.com.cy, *.google.com.do, google.com.do, *.google.com.ec, google.com.ec, *.google.com.eg, google.com.eg, *.google.com.et, google.com.et, *.google.com.fj, google.com.fj, *.google.com.ge, google.com.ge, *.google.com.gh, google.com.gh, *.google.com.gi, google.com.gi, *.google.com.gr, google.com.gr, *.google.com.gt, google.com.gt, *.google.com.hk, google.com.hk, *.google.com.iq, google.com.iq, *.google.com.jm, google.com.jm, *.google.com.jo, google.com.jo, *.google.com.kh, google.com.kh, *.google.com.kw, google.com.kw, *.google.com.lb, google.com.lb, *.google.com.ly, google.com.ly, *.google.com.mm, google.com.mm, *.google.com.mt, google.com.mt, *.google.com.mx, google.com.mx, *.google.com.my, google.com.my, *.google.com.na, google.com.na, *.google.com.nf, google.com.nf, *.google.com.ng, google.com.ng, *.google.com.ni, google.com.ni, *.google.com.np, google.com.np, *.google.com.nr, google.com.nr, *.google.com.om, google.com.om, *.google.com.pa, google.com.pa, *.google.com.pe, google.com.pe, *.google.com.pg, google.com.pg, *.google.com.ph, google.com.ph, *.google.com.pk, google.com.pk, *.google.com.pl, google.com.pl, *.google.com.pr, google.com.pr, *.google.com.py, google.com.py, *.google.com.qa, google.com.qa, *.google.com.ru, google.com.ru, *.google.com.sa, google.com.sa, *.google.com.sb, google.com.sb, *.google.com.sg, google.com.sg, *.google.com.sl, google.com.sl, *.google.com.sv, google.com.sv, *.google.com.tj, google.com.tj, *.google.com.tn, google.com.tn, *.google.com.tr, google.com.tr, *.google.com.tw, google.com.tw, *.google.com.ua, google.com.ua, *.google.com.uy, google.com.uy, *.google.com.vc, google.com.vc, *.google.com.ve, google.com.ve, *.google.com.vn, google.com.vn, *.url.google.com"
*.payments.googleapis.com                              ,"bpui0.google.com, digiyaar.pay.google.com, landing.pay.google.com, merchantstories.pay.google.com, pay.google.com, *.payments.google.com, payments.google.com, *.p.sandbox.google.com, *.sandbox.google.com, tez.google.com, tokenized.play.google.com, wallet.google.com"
time.google.com                                        ,time.google.com
*.jibe.google.com                                      ,*.jibe.google.com
*.webapps.google.com                                   ,*.webapps.google.com
dns.google                                             ,"*.dns.google.com, dns.google.com"
supl.google.com                                        ,supl.google.com
ldap.google.com                                        ,ldap.google.com
*.usercontent.google.com                               ,"*.fife.google.com, fife.google.com, *.fife.usercontent.google.com, fife.usercontent.google.com, *.usercontent.google.com, usercontent.google.com, *.usercontent.sandbox.google.com"
*.chrome.google.com                                    ,*.chrome.google.com
*.recorder.google.com                                  ,*.recorder.google.com
acs-dev.voice.google.com                               ,acs-dev.voice.google.com
upload.video.google.com                                ,"*.clients.google.com, *.docs.google.com, *.drive.google.com, *.photos.google.com, *.upload.google.com, upload.google.com, upload.video.google.com"
wifi.google.com                                        ,wifi.google.com
