starting the dnsdmpstr:

false
reversedns


google-proxy-66-249-84-110.google.com,66.249.84.110
google-proxy-74-125-215-110.google.com,74.125.215.110
rate-limited-proxy-108-177-65-110.google.com,108.177.65.110
google-proxy-66-249-85-110.google.com,66.249.85.110
google-proxy-66-102-6-110.google.com,66.102.6.110
rate-limited-proxy-108-177-66-110.google.com,108.177.66.110
rate-limited-proxy-108-177-76-110.google.com,108.177.76.110
rate-limited-proxy-192-178-17-110.google.com,192.178.17.110
rate-limited-proxy-74-125-217-110.google.com,74.125.217.110
rate-limited-proxy-108-177-77-110.google.com,108.177.77.110
rate-limited-proxy-66-249-87-110.google.com,66.249.87.110
google-proxy-74-125-208-110.google.com,74.125.208.110
rate-limited-proxy-209-85-238-110.google.com,209.85.238.110
rate-limited-proxy-108-177-68-110.google.com,108.177.68.110
rate-limited-proxy-142-250-88-110.google.com,142.250.88.110
google-proxy-66-102-9-110.google.com,66.102.9.110
google-proxy-192-178-9-110.google.com,192.178.9.110
google-proxy-74-125-209-110.google.com,74.125.209.110
rate-limited-proxy-74-125-149-110.google.com,74.125.149.110
rate-limited-proxy-108-177-69-110.google.com,108.177.69.110
rate-limited-proxy-108-177-79-110.google.com,108.177.79.110
rate-limited-proxy-66-249-89-110.google.com,66.249.89.110
rate-limited-proxy-72-14-199-110.google.com,72.14.199.110
mail-pg0-f110.google.com,74.125.83.110
mail-vk0-f110.google.com,209.85.213.110
mail-wm0-f110.google.com,74.125.82.110
mail-oa1-f110.google.com,209.85.160.110
mail-ua1-f110.google.com,209.85.222.110
mail-lf1-f110.google.com,209.85.167.110
mail-ej1-f110.google.com,209.85.218.110
mail-oo1-f110.google.com,209.85.161.110
mail-wr1-f110.google.com,209.85.221.110
mail-vs1-f110.google.com,209.85.217.110
mail-ot1-f110.google.com,209.85.210.110
mail-qv1-f110.google.com,209.85.219.110
mail-sor-f110.google.com,209.85.220.110
google-proxy-192-178-10-210.google.com,192.178.10.210
rate-limited-proxy-108-177-70-210.google.com,108.177.70.210
google-proxy-66-249-80-210.google.com,66.249.80.210
rate-limited-proxy-192-178-21-210.google.com,192.178.21.210
rate-limited-proxy-108-177-71-210.google.com,108.177.71.210
google-proxy-66-249-81-210.google.com,66.249.81.210
rate-limited-proxy-142-250-91-210.google.com,142.250.91.210
google-proxy-74-125-212-210.google.com,74.125.212.210
google-proxy-66-249-82-210.google.com,66.249.82.210
rate-limited-proxy-66-249-92-210.google.com,66.249.92.210
google-proxy-192-178-13-210.google.com,192.178.13.210
google-proxy-74-125-213-210.google.com,74.125.213.210
rate-limited-proxy-108-177-73-210.google.com,108.177.73.210
google-proxy-64-233-173-210.google.com,64.233.173.210
google-proxy-66-249-83-210.google.com,66.249.83.210
google-proxy-66-249-93-210.google.com,66.249.93.210
google-proxy-192-178-14-210.google.com,192.178.14.210
google-proxy-74-125-214-210.google.com,74.125.214.210
rate-limited-proxy-108-177-74-210.google.com,108.177.74.210
google-proxy-66-249-84-210.google.com,66.249.84.210
rate-limited-proxy-108-177-65-210.google.com,108.177.65.210
rate-limited-proxy-108-177-75-210.google.com,108.177.75.210
google-proxy-66-249-85-210.google.com,66.249.85.210
rate-limited-proxy-74-125-216-210.google.com,74.125.216.210
rate-limited-proxy-108-177-76-210.google.com,108.177.76.210
google-proxy-66-102-7-210.google.com,66.102.7.210
rate-limited-proxy-192-178-17-210.google.com,192.178.17.210
rate-limited-proxy-108-177-77-210.google.com,108.177.77.210
google-proxy-66-102-8-210.google.com,66.102.8.210
rate-limited-proxy-74-125-218-210.google.com,74.125.218.210
rate-limited-proxy-203-208-38-210.google.com,203.208.38.210
rate-limited-proxy-209-85-238-210.google.com,209.85.238.210
rate-limited-proxy-108-177-68-210.google.com,108.177.68.210
rate-limited-proxy-108-177-78-210.google.com,108.177.78.210
google-proxy-66-249-88-210.google.com,66.249.88.210
google-proxy-74-125-209-210.google.com,74.125.209.210
rate-limited-proxy-74-125-219-210.google.com,74.125.219.210
rate-limited-proxy-66-249-89-210.google.com,66.249.89.210
rate-limited-proxy-72-14-199-210.google.com,72.14.199.210
mail-pf0-f210.google.com,209.85.192.210
